userAddress,usdCompensation
0x00f751780e7399e3053ed118ec6b163986aa1855,1020.0
0x036b8c9f7c31713c3a47863afe0031630395facd,2.842170943040401e-14
0x07fdbf729e4d19c71c486c6a840fe919ee0e6219,0.0017427946042971598
0x09b3ed5392df96c5691a5c3e793acb4dc47d089e,0.0010000000000331966
0x1df70766fd4f025597713f2863e34d7d75777967,1.992999999999995
0x1e8b308921ac5a8ca9cc7e22505140aa9458629a,9.094947017729282e-13
0x20f9ddfa193d0fe2f73d8b7d749b1355ef019887,0.0002420729142613709
0x2156c8761a9f3c3a67990454ea1e91ab170f420b,9.094947017729282e-13
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,5.684341886080802e-14
0x37adfe6ec3c394619426df67f06a2a82c4243ffb,29.7
0x452543927c96f6fc1da2a784f3e86462d54f5c66,396.0
0x461783a831e6db52d68ba2f3194f6fd1e0087e04,1.000000000003638
0x4d03ef005e5f559fc9294a8e1cebba09284b1f82,1003.000299449986
0x5bb96c35a68cba037d0f261c67477416db137f03,99.0
0x6216b9c052adf9e3e6f6192284467ee825698c4c,19.0
0x6395cc6e900b1a29195be284979131e02f831683,173.25
0x6b16d808c4c9055b1d5b121cf100b9126178acb1,5.684341886080802e-14
0x6cd68e8f04490cd1a5a21cc97cc8bc15b47dc9eb,15.7707
0x6eb3f5d9b8f83fef7411709e0dfb42da9d4a85da,1045.9359956546923
0x752cdfdffaeebe73bb1388f69f94553ade64c988,0.000499999999995282
0x8af0a5658776b68912b22ec954a91b9c20d3f8aa,0.0005201560467185118
0x924ef47993be036ebe72be1449d8bef627cd30a2,1237.500688111436
0xa16e2ca70a474cf3dafe1c07623a01e71ae5b0ed,49.5
0xadcf4a36baa86882c06e259ea93c439e1ab191e2,148.5
0xb1475e37c167a9d4ba8157d1dc96673f807d258c,50.0
0xb5e95ee834c72f8faf8ec9ff18ebee593d0b295d,201.799
0xbd1f7d88c76a86c60d41bddd4819fae404e7151e,0.00016835849874041742
0xc0e554c1951c0193e020156f68dce15064769937,73.50099999999992
0xc1b0fa49c46ebfa755935184f65bc0e3a2da4584,198.0
0xc637db6c413db9439944d0dfda47172890a6e313,1063.9099999999999
0xd23199f1222c418ffc74c385171330b21b16e452,137.61
0xd3fd32e76a1ca37ec408aac47776b10fc099f841,299.99999999999994
0xd558914fa43581584b460bba220f25175bbcf67a,396.00018159119304
0xd76224d26b01e9733a0e67209929b2eadff67d36,792.0011446426795
0xdb6dacb2f48be340ab4fe422f1f7186a4986a2ca,40.0
0xe3e39161d35e9a81edec667a5387bfae85752854,495.0
0xe5172ed535cb5858b8f9773566653871e30d0fa4,34.0
0xf75fc531ca33234290e9672074cf76fb146a0cce,304.908
0xfe5866a9b399650a3f2488dd5481be1ec0e16ecc,0.9999999999999999
0xfe5f7be0db53d43829b5d22f7c4d1953400ea5cf,49.5
